seed_status,major_group,family,notes
seed,Angiosperms,Philydraceae,
seed,Angiosperms,Phrymaceae,
seed,Angiosperms,Phyllanthaceae,
seed,Angiosperms,Phyllonomaceae,
seed,Angiosperms,Physenaceae,
seed,Angiosperms,Phytolaccaceae,
seed,Angiosperms,Picramniaceae,
seed,Angiosperms,Picrodendraceae,
seed,Angiosperms,Piperaceae,
seed,Angiosperms,Pittosporaceae,
seed,Angiosperms,Plantaginaceae,
seed,Angiosperms,Platanaceae,
seed,Angiosperms,Plocospermataceae,
seed,Angiosperms,Plumbaginaceae,
seed,Angiosperms,Poaceae,
seed,Angiosperms,Podostemaceae,
seed,Angiosperms,Polemoniaceae,
seed,Angiosperms,Polygalaceae,
seed,Angiosperms,Polygonaceae,
seed,Angiosperms,Pontederiaceae,
seed,Angiosperms,Portulacaceae,
seed,Angiosperms,Posidoniaceae,
seed,Angiosperms,Potamogetonaceae,
seed,Angiosperms,Primulaceae,
seed,Angiosperms,Proteaceae,
seed,Angiosperms,Putranjivaceae,
seed,Angiosperms,Quillajaceae,
seed,Angiosperms,Rafflesiaceae,
seed,Angiosperms,Ranunculaceae,
seed,Angiosperms,Rapateaceae,
seed,Angiosperms,Resedaceae,
seed,Angiosperms,Restionaceae,
seed,Angiosperms,Rhabdodendraceae,
seed,Angiosperms,Rhamnaceae,
seed,Angiosperms,Rhipogonaceae,
seed,Angiosperms,Rhizophoraceae,
seed,Angiosperms,Roridulaceae,
seed,Angiosperms,Rosaceae,
seed,Angiosperms,Rousseaceae,
seed,Angiosperms,Rubiaceae,
seed,Angiosperms,Ruppiaceae,
seed,Angiosperms,Rutaceae,
seed,Angiosperms,Sabiaceae,
seed,Angiosperms,Salicaceae,
seed,Angiosperms,Salvadoraceae,
seed,Angiosperms,Santalaceae,
seed,Angiosperms,Sapindaceae,
seed,Angiosperms,Sapotaceae,
seed,Angiosperms,Sarcobataceae,
seed,Angiosperms,Sarcolaenaceae,
seed,Angiosperms,Sarraceniaceae,
seed,Angiosperms,Saururaceae,
seed,Angiosperms,Saxifragaceae,
seed,Angiosperms,Scheuchzeriaceae,
seed,Angiosperms,Schisandraceae,
seed,Angiosperms,Schlegeliaceae,
seed,Angiosperms,Schoepfiaceae,
seed,Angiosperms,Scrophulariaceae,
seed,Angiosperms,Setchellanthaceae,
seed,Angiosperms,Simaroubaceae,
seed,Angiosperms,Simmondsiaceae,
seed,Angiosperms,Siparunaceae,
seed,Angiosperms,Sladeniaceae,
seed,Angiosperms,Smilacaceae,
seed,Angiosperms,Solanaceae,
seed,Angiosperms,Sphaerosepalaceae,
seed,Angiosperms,Sphenocleaceae,
seed,Angiosperms,Stachyuraceae,
seed,Angiosperms,Staphyleaceae,
seed,Angiosperms,Stegnospermataceae,
seed,Angiosperms,Stemonaceae,
seed,Angiosperms,Stemonuraceae,
seed,Angiosperms,Stilbaceae,
seed,Angiosperms,Strasburgeriaceae,
seed,Angiosperms,Strelitziaceae,
seed,Angiosperms,Stylidiaceae,
seed,Angiosperms,Styracaceae,
seed,Angiosperms,Surianaceae,
seed,Angiosperms,Symplocaceae,
seed,Angiosperms,Talinaceae,
